timestamp,,e_point,n_point,e_cur,n_cur,Cur_head,Head_ref,,Head_command,
1.65661E+12,20659.07983,0,0,1.777,1.114,101.9795761,0.052359878,3,-0.20943951,-6
1.65661E+12,20760.40991,0,0,1.777,1.114,100.9893112,0.052359878,3,-0.20943951,-6
1.65661E+12,20861.30005,0,0,1.777,1.111,100.4686508,0.052359878,3,-0.20943951,-6
1.65661E+12,20962.42993,0,0,1.777,1.111,99.77680969,0.052359878,3,-0.20943951,-6
1.65661E+12,21064.58984,0,0,1.778,1.113,98.98323822,0.052359878,3,-0.20943951,-6
1.65661E+12,21167.92993,0,0,1.779,1.119,98.84833527,0.052359878,3,-0.20943951,-6
1.65661E+12,21270.13989,0,0,1.779,1.119,98.72154236,0.052359878,3,-0.20943951,-6
1.65661E+12,21373.12988,0,0,1.78,1.125,98.63450623,0.052359878,3,-0.20943951,-6
1.65661E+12,21482.88989,0,0,1.781,1.131,98.82846832,0.052359878,3,-0.20943951,-6
1.65661E+12,21583.97998,0,0,1.781,1.131,98.9664917,0.052359878,3,-0.20943951,-6
1.65661E+12,21686.78003,0,0,1.78,1.136,99.64421844,0.052359878,3,-0.20943951,-6
1.65661E+12,21788.6499,0,0,1.779,1.139,99.98461151,0.052359878,3,-0.20943951,-6
1.65661E+12,21889.68994,0,0,1.779,1.139,99.9454422,0.052359878,3,-0.20943951,-6
1.65661E+12,21990.62988,0,0,1.779,1.141,98.99698639,0.052359878,3,-0.20943951,-6
1.65661E+12,22093.08984,0,0,1.779,1.142,98.73311615,0.052359878,3,-0.20943951,-6
1.65661E+12,22195.76001,0,0,1.779,1.142,97.48774719,0.052359878,3,-0.20943951,-6
1.65661E+12,22299.16992,0,0,1.778,1.145,96.04079437,0.052359878,3,-0.20943951,-6
1.65661E+12,22400.07983,0,0,1.778,1.145,94.98648071,0.052359878,3,-0.20943951,-6
1.65661E+12,22501.66992,0,0,1.778,1.146,93.75770569,0.052359878,3,-0.20943951,-6
1.65661E+12,22602.66992,0,0,1.776,1.145,92.48574829,0.052359878,3,-0.20943951,-6
1.65661E+12,22705.94995,0,0,1.776,1.145,91.5279541,0.052359878,3,-0.20943951,-6
1.65661E+12,22818.54004,0,0,1.773,1.143,90.52191162,0.052359878,3,-0.20943951,-6
1.65661E+12,22920.80981,0,0,1.77,1.143,89.91618347,0.052359878,3,-0.20943951,-6
1.65661E+12,23026.09985,0,0,1.77,1.143,89.01535034,0.052359878,3,-0.20943951,-6
1.65661E+12,23127.87988,0,0,1.768,1.143,88.20426178,0.052359878,3,-0.20943951,-6
1.65661E+12,23230.15991,0,0,1.767,1.145,88.13898468,0.052359878,3,-0.20943951,-6
1.65661E+12,23332.54004,0,0,1.767,1.145,87.79577637,0.052359878,3,-0.20943951,-6
1.65661E+12,23438.41992,0,0,1.767,1.151,87.73219299,0.052359878,3,-0.20943951,-6
1.65661E+12,23540.37988,0,0,1.769,1.157,87.55957031,0.052359878,3,-0.20943951,-6
1.65661E+12,23642.27002,0,0,1.769,1.157,87.33158112,0.052359878,3,-0.20943951,-6
1.65661E+12,23744.10986,0,0,1.77,1.162,86.95992279,0.052359878,3,-0.20943951,-6
1.65661E+12,23847.38989,0,0,1.77,1.162,86.70385742,0.052359878,3,-0.20943951,-6
1.65661E+12,23953.85986,0,0,1.77,1.166,85.70661163,0.052359878,3,-0.20943951,-6
1.65661E+12,24060.27002,0,0,1.769,1.167,84.92789459,0.052359878,3,-0.20943951,-6
1.65661E+12,24163.71997,0,0,1.769,1.167,83.74375153,0.052359878,3,-0.20943951,-6
1.65661E+12,24265.52002,0,0,1.767,1.166,82.17215729,0.052359878,3,-0.20943951,-6
1.65661E+12,24369.3999,0,0,1.765,1.164,81.18347168,0.052359878,3,-0.20943951,-6
